,id,campaign_id,coupon_id,customer_id,redemption_status,campaign_type,duration,month,year,age_range,marital_status,rented,family_size,no_of_children,income_bracket,mean_quantity_cust,mean_selling_price_cust,mean_other_discount_cust,mean_coupon_discount_cust,mean_quantity_item_coupon,mean_selling_price_item_coupon,mean_other_discount_item_coupon,mean_coupon_discount_item_coupon,brand,brand_type,category
32,52,5,663,828,0,Y,34,1,2013,18-25,Single,1,2,1,1,175.64624131396084,135.21455464308275,-21.54951989892609,-0.08775742261528742,1.0303030303030303,321.8148543123543,-15.788094405594405,-18.925075757575758,673,Established,Pharmaceutical
33,54,30,332,958,0,X,46,11,2012,36-45,Single,0,1,1,8,140.28768844221105,103.60013819095477,-18.505489949748743,-0.11141959798994974,1.9354452504335116,45.638476559168645,-13.225204497777083,-2.6729339774557164,56,Local,Grocery
34,55,30,500,91,0,X,46,11,2012,36-45,Married,0,2,1,2,21.127208480565372,97.65978798586573,-14.672579505300353,0.0,1.0,135.0,0.0,0.0,218,Established,Grocery
35,56,8,757,1447,0,X,48,2,2013,36-45,Married,0,2,1,3,1.2776412776412776,101.26815724815725,-28.5827027027027,-0.37633906633906633,1.0645424836601307,114.558227124183,-20.682393790849673,0.0,864,Established,Grocery
36,58,30,1067,124,0,X,46,11,2012,46-55,Married,0,2,1,6,971.6379044684129,202.243281972265,-22.323682588597844,-0.164653312788906,1.1833333333333333,127.51216666666667,0.0,0.0,1982,Established,Grocery
37,61,8,87,661,0,X,48,2,2013,36-45,Married,1,2,1,8,28.887179487179488,130.3674017094017,-10.828358974358975,-0.5845299145299145,1.029059829059829,108.8283076923077,-22.7208547008547,-0.2801025641025641,56,Local,Grocery
38,62,26,905,648,0,X,40,8,2012,36-45,Married,0,5+,3+,4,205.0520646319569,94.3251526032316,-16.212154398563733,-0.0351705565529623,1.183828769791555,105.32611095822716,-54.961102999304245,-0.3022207810404753,1124,Established,Grocery
39,63,13,1114,1381,0,X,47,5,2013,70+,Single,0,2,1,4,98.64878892733564,106.49256055363321,-14.346920415224915,0.0,1.0,604.9426666666667,-6.1739999999999995,0.0,2416,Established,Pharmaceutical
40,65,13,152,680,0,X,47,5,2013,56-70,Married,0,1,1,4,35.8415961305925,117.22529625151148,-24.044256348246673,0.0,1.0368232070055745,48.52937288529273,-6.566129149679674,0.0,56,Local,Grocery
41,66,8,57,72,0,X,48,2,2013,26-35,Single,0,3,2,1,1.2630824372759857,66.50519713261649,-18.462688172043013,-0.19151971326164877,1.0298611111111111,204.49733376577126,-35.32331003256004,-1.7602499999999999,56,Local,Grocery
42,69,8,383,883,0,X,48,2,2013,46-55,Single,0,1,1,4,274.9351145038168,152.80236641221376,-20.514141221374047,-0.10875954198473282,1.0825036216340564,201.68056339983877,-47.453543993268624,-3.8616191356988456,57,Established,Grocery
43,71,8,271,1366,0,X,48,2,2013,46-55,Married,0,2,1,5,1.2844827586206897,81.57512068965517,-17.193258620689654,0.0,1.0,382.56,-4.4525,0.0,4337,Established,Pharmaceutical
44,72,13,413,276,1,X,47,5,2013,46-55,Married,0,2,1,5,625.3450819672131,142.85290163934428,-18.6682868852459,-0.921155737704918,1.1676859372511545,130.8894082656474,-36.55533986303551,-2.687551839464883,67,Established,Seafood
45,74,26,582,578,0,X,40,8,2012,26-35,Single,0,2,1,8,406.99783643444397,139.01385547382085,-20.0467027260926,-0.9896668109043704,1.6944444444444444,89.92933333333332,-28.84127777777778,-3.2557222222222224,446,Established,Grocery
46,75,30,333,895,0,X,46,11,2012,26-35,Single,0,1,1,5,65.72045454545454,118.84072727272726,-16.014295454545454,-0.08095454545454545,2.8086956521739133,118.2206956521739,-44.78521739130435,0.0,56,Local,Grocery
47,77,13,485,861,0,X,47,5,2013,70+,Married,0,2,1,3,1.365210843373494,112.54722891566266,-17.72027861445783,-0.09387801204819277,1.0,102.94,-21.37,-39.68666666666667,206,Established,Grocery
48,79,30,256,1383,0,X,46,11,2012,26-35,Married,0,2,1,5,85.58229114557278,119.71718859429716,-13.113621810905453,-0.04543771885942972,1.0,288.93506666666667,-13.535599999999999,0.0,4308,Established,Pharmaceutical
49,80,11,980,1351,0,Y,46,4,2013,46-55,Married,0,1,1,5,2.0425844346549193,167.93064610866372,-21.959897209985318,-0.36560939794419967,1.2489795918367348,74.45564455782312,-1.4563350340136054,0.0,1319,Established,Pharmaceutical
50,82,29,538,1162,0,Y,53,10,2012,36-45,Married,0,2,1,4,1.5133333333333334,152.87293333333332,-17.551099999999998,-0.029666666666666668,1.5510042666340036,55.58857489235595,-15.553236370758245,-1.1737270698193485,278,Established,Grocery
51,83,8,700,19,0,X,48,2,2013,46-55,Married,0,1,1,3,1.199137311286844,92.84131560028757,-7.127800143781452,-0.06529115744069014,1.0344827586206895,449.33369772560525,-66.170095377843,-1.5157446808510637,702,Established,Prepared Food
52,84,2,628,384,0,Y,32,12,2012,36-45,Single,0,1,1,3,68.7751677852349,99.33823825503354,-14.34711409395973,-0.7918791946308724,1.0208718094146916,178.7228967285005,-37.41140839000548,-1.4851519258197505,544,Established,Grocery
53,85,13,136,200,0,X,47,5,2013,70+,Married,0,1,1,2,1.1808510638297873,116.69560283687944,-16.058439716312055,-3.0680673758865247,1.1024949121578824,109.83192967973004,-50.69110827620609,-0.10919053185271771,56,Local,Grocery
54,86,29,750,113,0,Y,53,10,2012,56-70,Married,0,2,1,4,522.6804347826087,125.01958695652175,-31.76678260869565,-1.0213260869565217,1.0923489987080102,141.60532731750646,-5.2206489421834625,-0.06924024951550388,838,Established,Grocery
55,88,26,854,1210,0,X,40,8,2012,46-55,Married,0,2,1,5,14.621203438395415,78.77092263610315,-12.618011461318051,-0.37763323782234953,1.3316937031222746,175.42413396127682,-29.39460666317809,0.0,1030,Established,Grocery
56,90,8,761,341,0,X,48,2,2013,36-45,Married,0,5+,3+,4,21.244755244755243,131.1254895104895,-14.36737762237762,-0.34244755244755243,1.0,138.56,-10.69,0.0,896,Established,Grocery
57,91,8,383,1475,0,X,48,2,2013,70+,Married,0,3,2,1,1.317363751584284,71.14968060836502,-9.09893536121673,-0.11466920152091255,1.0825036216340564,201.68056339983877,-47.453543993268624,-3.8616191356988456,57,Established,Grocery
58,92,3,828,998,0,Y,56,12,2012,26-35,Married,0,2,1,4,1.2535321821036107,122.29007849293563,-14.07085557299843,-0.35758241758241754,1.046355209698863,210.76552709861562,-23.8545604328787,-7.527297557619538,57,Established,Pharmaceutical
59,93,13,881,1418,0,X,47,5,2013,46-55,Married,0,2,1,6,22.359701492537315,85.60473880597014,-17.67668656716418,-1.3639104477611939,1.1149846644583488,120.27745037418723,-24.027366188197767,-1.3219298245614035,1088,Established,Grocery
60,95,13,129,1444,0,X,47,5,2013,46-55,Married,0,2,1,12,64.67787610619469,130.53901238938053,-13.8034796460177,-0.5634867256637168,1.023076923076923,143.56157692307693,-6.7705769230769235,0.0,56,Local,Grocery
61,97,26,867,321,0,X,40,8,2012,70+,Single,0,1,1,3,1.4794776119402986,118.21130597014925,-30.86554104477612,-0.2990485074626866,1.4015189873417722,145.20542350813744,-26.3567417721519,0.0,5016,Established,Grocery
62,99,8,709,372,0,X,48,2,2013,36-45,Married,0,3,2,5,36.21078431372549,158.49730392156863,-15.930833333333332,-0.3578921568627451,1.0823978766919062,172.43773598571002,-25.880456822009165,-2.177308294105932,717,Established,Grocery
63,101,13,169,888,0,X,47,5,2013,26-35,Married,0,3,1,4,23.067653276955603,128.3070824524313,-16.190845665961945,-0.12801268498942917,1.0856060606060605,53.740750000000006,-12.63469696969697,0.0,56,Local,Bakery
64,102,8,8,659,0,X,48,2,2013,46-55,Married,0,3,1,5,514.6304654442878,142.71613070051717,-13.121697226140103,-0.33978843441466855,1.2870666553845127,183.00911602663174,-32.20738803886862,-0.3903173646192175,56,Established,Meat
65,103,30,1083,340,0,X,46,11,2012,46-55,Married,0,5+,3+,3,1.3493282149712091,91.65719769673704,-16.875930902111325,-0.17092130518234164,1.0178481649069886,322.826679384868,-74.17779247359303,-1.270814479638009,2074,Established,Grocery
66,104,13,530,657,0,X,47,5,2013,26-35,Married,0,4,2,1,72.89710144927537,137.34538405797102,-28.359760869565218,-1.3210217391304349,1.0569246047355687,104.37745293661149,-20.750270166072788,-1.5561422421378666,278,Established,Grocery
67,106,3,822,998,0,Y,56,12,2012,46-55,Married,0,2,1,3,1.2535321821036107,122.29007849293563,-14.07085557299843,-0.35758241758241754,1.0201136968170854,189.78554417304463,-26.157928249392963,-4.774772685633319,57,Established,Grocery
68,107,13,126,590,0,X,47,5,2013,36-45,Married,0,2,1,1,463.42445482866043,140.37795950155763,-18.27971183800623,-0.1262227414330218,1.1540612831779373,48.06327848033437,-22.31395464937663,0.0,56,Local,Grocery
69,110,8,700,1044,0,X,48,2,2013,26-35,Married,0,4,2,5,32.200146627565985,108.85110703812317,-33.31796187683284,-1.3547800586510264,1.0344827586206895,449.33369772560525,-66.170095377843,-1.5157446808510637,702,Established,Prepared Food
70,113,26,917,435,0,X,40,8,2012,46-55,Married,0,1,1,10,23.33459357277883,128.40508506616257,-12.031398865784498,-0.3030056710775047,1.0,125.31052631578947,-15.99754385964912,-0.8124561403508772,1134,Established,Grocery
71,115,12,109,416,0,Y,32,4,2013,36-45,Married,1,4,2,5,370.6199304750869,137.70742757821552,-24.705643105446118,-2.0026419466975667,1.200995268201519,87.64234049806012,-23.402927183131393,0.0,56,Local,Grocery
72,117,13,22,741,0,X,47,5,2013,70+,Married,0,2,1,6,1.0710571923743502,122.82266897746966,-13.506516464471405,0.0,1.2321630266467112,121.1849878371976,-29.397932276255904,-0.9510830989478413,56,Established,Grocery
73,118,13,960,572,0,X,47,5,2013,36-45,Married,0,2,1,4,410.0461215932914,146.70235639412996,-11.552117400419286,-0.04465408805031446,1.7984154134276948,64.4562780137013,-9.65414814703382,-1.4746513224999656,1235,Established,Grocery
74,121,13,24,1214,0,X,47,5,2013,46-55,Married,0,2,1,12,72.40517241379311,148.56626436781607,-12.637758620689654,0.0,1.2822876463871424,189.44477600791703,-34.13661068813973,-0.4342665434180126,56,Established,Meat
75,122,8,772,166,0,X,48,2,2013,26-35,Married,0,1,1,7,1.3015165031222122,101.73982158786797,-17.06849241748439,-0.2955129348795718,1.0987750630295703,115.47275135708159,-19.14409094373428,-1.6055830075025028,914,Established,Grocery
76,123,13,603,1152,0,X,47,5,2013,46-55,Married,0,3,1,10,5.17243920412675,104.12106116433309,-11.929771554900515,-0.18098747236551216,1.011111111111111,205.0447777777778,-10.685999999999998,0.0,487,Established,Grocery
77,124,29,982,278,0,Y,53,10,2012,26-35,Single,1,5+,3+,3,47.918238993710695,90.13861635220125,-25.57056603773585,-0.9946540880503143,1.4883908943509412,31.229979280858323,-10.281042637787758,-0.31725728322223445,1337,Established,Grocery
78,125,13,510,379,0,X,47,5,2013,26-35,Single,0,1,1,9,28.869011976047904,123.34726047904192,-17.29550149700599,-0.35419161676646704,1.2681938646962077,182.0726567150424,-53.37419948337529,-4.531092703678257,241,Established,Seafood
79,129,13,982,1005,0,X,47,5,2013,26-35,Married,0,3,1,9,1.1210114388922336,69.88894039735099,-10.648922335942204,-0.08577965081276338,1.4883908943509412,31.229979280858323,-10.281042637787758,-0.31725728322223445,1337,Established,Grocery
80,130,13,132,1241,0,X,47,5,2013,26-35,Single,0,1,1,5,169.9736147757256,97.83759894459102,-10.43688654353562,-0.11746701846965699,1.1648148148148147,62.378069664902995,-14.740541446208113,-5.762444444444444,56,Local,Natural Products
81,131,8,60,1202,0,X,48,2,2013,36-45,Single,0,3,1,6,149.2051282051282,99.38862637362638,-22.757967032967034,-1.4254395604395604,1.197674418604651,286.353023255814,-54.50674418604651,-23.16546511627907,56,Local,Packaged Meat
82,134,12,1063,1025,0,Y,32,4,2013,46-55,Married,0,2,1,5,94.59289758106021,100.2299433865157,-15.627318579516212,-1.647143592382913,1.138325953159885,66.25387363457739,-14.562744804065822,-0.09041963613584549,1953,Established,Grocery
83,135,13,166,814,0,X,47,5,2013,26-35,Married,0,4,2,2,1.1362467866323906,75.49764781491002,-10.591053984575836,-0.5471208226221079,1.060694601348807,59.72126624232465,-4.0436219037971375,0.0,56,Local,Grocery
84,136,13,679,619,0,X,47,5,2013,36-45,Single,1,2,1,4,1.438976377952756,98.35430118110236,-16.9080905511811,-0.13147145669291338,1.0202643859476157,270.6092832659634,-22.701119474843075,-1.5742584951855139,686,Established,Grocery
85,137,3,839,998,0,Y,56,12,2012,46-55,Married,0,2,1,10,1.2535321821036107,122.29007849293563,-14.07085557299843,-0.35758241758241754,1.1279761904761905,98.92247023809523,-20.88170634920635,-1.7433068783068781,2088,Established,Pharmaceutical
86,139,4,459,15,0,Y,32,1,2013,46-55,Married,0,2,1,6,334.44685990338166,139.75549516908214,-16.724106280193237,-1.578792270531401,1.0327461799660442,84.72666316496887,-1.8284875495189588,0.0,4790,Established,Grocery
87,141,8,658,638,0,X,48,2,2013,46-55,Single,0,1,1,4,128.59037558685446,113.24479460093897,-24.69782863849765,-0.7052816901408451,1.071506919006919,98.88036967592592,-16.899510706654457,-5.8431943210724455,644,Established,Pharmaceutical
88,142,10,106,1582,0,Y,32,4,2013,56-70,Married,0,2,1,3,216.06941176470588,138.7428705882353,-24.92309411764706,-2.724658823529412,1.0,149.47,-83.57083333333333,0.0,56,Local,Bakery
89,144,13,168,310,0,X,47,5,2013,26-35,Married,0,2,1,5,283.5833333333333,117.1263524590164,-21.89405737704918,-0.5615437158469945,1.069607843137255,156.05371372549018,-53.11067254901961,0.0,56,Local,Grocery
90,146,8,473,8,0,X,48,2,2013,26-35,Married,0,4,2,6,1012.4840667678301,227.22469650986343,-23.528945371775414,-5.01160091047041,1.0983130740894715,92.10326971544673,-25.377993207448178,-3.232882771472833,189,Established,Pharmaceutical
91,151,8,627,95,0,X,48,2,2013,46-55,Married,0,5+,3+,8,1.2567049808429118,101.23931034482759,-24.667394636015324,-1.6035632183908044,1.4658359658359659,239.40406623669125,-99.30778978003978,-3.4015495495495496,539,Established,Pharmaceutical
92,152,13,145,932,0,X,47,5,2013,36-45,Married,0,1,1,5,1.3127035830618892,168.52218241042345,-12.203420195439739,-0.6949837133550488,1.2188252214837336,132.5757367108188,-25.244651413019696,0.0,56,Local,Packaged Meat
93,154,8,7,1195,0,X,48,2,2013,56-70,Married,0,2,1,5,1.1191335740072201,136.96440433212996,-13.523862815884478,-0.032129963898916966,1.1845649928246926,144.7321840382284,-7.120341494746811,-0.23014772510373122,602,Established,Natural Products
94,155,12,109,1232,0,Y,32,4,2013,36-45,Married,0,5+,3+,6,8.261966927763272,85.07920800696257,-15.144873803307222,-0.14105308964316796,1.200995268201519,87.64234049806012,-23.402927183131393,0.0,56,Local,Grocery
95,156,13,667,1096,0,X,47,5,2013,26-35,Married,0,2,1,5,24.750889679715304,100.22231316725978,-22.033629893238434,0.0,1.073715415019763,373.5535769223784,-20.68402060899944,-5.818505417859536,673,Established,Pharmaceutical
96,158,30,924,1383,0,X,46,11,2012,26-35,Married,0,2,1,5,85.58229114557278,119.71718859429716,-13.113621810905453,-0.04543771885942972,1.1166056166056166,86.66304639804639,-10.19037851037851,-1.0732051282051283,1134,Established,Grocery
97,159,29,621,569,0,Y,53,10,2012,46-55,Married,0,1,1,9,248.2748592870544,170.6152626641651,-17.797242026266417,-0.01670731707317073,1.0286290322580645,121.66432177419354,-8.997355645161289,-9.640662096774191,522,Established,Grocery
98,160,8,761,640,0,X,48,2,2013,46-55,Married,0,1,1,4,51.920731707317074,91.55081300813008,-11.658262195121951,-0.1266869918699187,1.0,138.56,-10.69,0.0,896,Established,Grocery
99,161,13,467,1003,0,X,47,5,2013,46-55,Married,0,1,1,5,317.937167199148,145.97774227902025,-15.254132055378061,-0.09483493077742279,1.2036451458721185,72.10367455089762,-20.65415057448906,-2.177719952439977,172,Established,Grocery
100,164,29,985,1029,0,Y,53,10,2012,36-45,Single,0,2,1,4,10.540178571428571,73.78042410714285,-13.596629464285714,-0.5048883928571428,1.1721327096327097,122.52115811965812,-18.115062254562254,-8.408859089859089,1337,Established,Grocery
101,165,13,171,644,0,X,47,5,2013,18-25,Married,0,1,1,1,1.1255813953488372,64.92060465116279,-13.873178294573645,-0.08283720930232558,1.0148148148148148,173.60091168091168,-20.205438746438745,0.0,56,Local,Grocery
102,167,13,1056,526,0,X,47,5,2013,46-55,Married,0,1,1,6,6.322818086225026,108.6513985278654,-15.855709779179811,-0.7959095688748685,1.0,854.52,-35.62,0.0,1878,Established,Pharmaceutical
103,169,13,890,745,0,X,47,5,2013,36-45,Married,0,1,1,1,329.2078189300411,128.74389917695473,-18.501100823045267,-0.06596707818930042,2.160028350267639,63.144179043446,-3.3673539598169295,-0.5975403776080136,1101,Established,Grocery
104,170,13,920,1136,0,X,47,5,2013,46-55,Married,0,2,1,6,264.66864784546806,114.74469539375929,-17.01745913818722,-2.2606835066864783,1.0667562724014337,100.21214896953404,-9.110529793906808,-5.155541218637993,1134,Established,Grocery
105,171,5,279,1491,0,Y,34,1,2013,26-35,Married,0,2,1,4,1.211049723756906,115.44828729281768,-12.610596685082873,0.0,1.0551805413448558,109.85677589453837,-8.45355136486777,0.0,4412,Established,Pharmaceutical
106,172,30,948,1534,0,X,46,11,2012,36-45,Married,0,3,1,5,268.3051834595224,109.12211997670354,-27.372283051834593,-0.6955387303436226,1.01,180.98712500000002,-17.1692,0.0,5051,Established,Grocery
107,176,8,383,80,0,X,48,2,2013,56-70,Married,0,1,1,6,327.38214285714287,171.88972619047618,-20.007517857142854,-1.3115714285714286,1.0825036216340564,201.68056339983877,-47.453543993268624,-3.8616191356988456,57,Established,Grocery
108,179,26,368,1174,0,X,40,8,2012,26-35,Married,0,1,1,5,20.108955223880596,91.51635820895522,-17.122910447761196,-0.18341791044776118,1.296886446886447,52.42955567765567,-16.606095146520147,0.0,56,Local,Grocery
109,180,12,107,879,0,Y,32,4,2013,46-55,Single,1,1,1,4,12.657142857142857,95.55454464285714,-14.282741071428571,-0.7073035714285714,1.0599843623982699,44.757781011578345,-3.5891447798369494,-0.05946473379117971,56,Local,Grocery
110,181,9,19,608,0,Y,32,3,2013,26-35,Married,0,2,1,5,338.5797491039427,110.76346774193549,-14.771810035842295,-0.8039695340501792,1.2378418695137148,87.63504101588299,-6.680978469075414,0.0,56,Local,"Dairy, Juices & Snacks"
111,182,9,19,755,0,Y,32,3,2013,36-45,Married,0,2,1,5,138.3897928994083,123.90616124260356,-18.44414201183432,-0.7727218934911243,1.2378418695137148,87.63504101588299,-6.680978469075414,0.0,56,Local,"Dairy, Juices & Snacks"
112,183,29,800,1099,0,Y,53,10,2012,56-70,Married,0,2,1,8,392.96033402922757,170.78797494780792,-17.39555323590814,-1.226972860125261,1.0877275073312829,105.3269720756576,-14.536158115500795,-0.18940760301817053,971,Established,Grocery
113,184,13,420,1118,0,X,47,5,2013,36-45,Single,0,2,1,4,1.2424778761061948,93.53943362831858,-16.831433628318585,-0.6682477876106194,1.1268115942028984,33.864384057971016,-5.8682608695652165,-4.045531400966183,101,Established,Pharmaceutical
114,186,13,756,582,0,X,47,5,2013,36-45,Married,0,3,2,5,196.96640316205534,101.78543478260869,-14.059703557312252,0.0,1.0528513017911438,117.89914039436168,-30.84716100641232,-3.1899350482324276,864,Established,Grocery
115,187,12,783,686,0,Y,32,4,2013,26-35,Married,0,2,1,4,1.5828343313373254,145.801876247505,-19.101936127744512,-0.053313373253493015,1.0877052906988804,102.31788278225997,-18.018609382885884,-0.5058950601717924,946,Established,Grocery
116,188,7,687,441,0,Y,34,2,2013,70+,Single,0,1,1,2,236.10217983651225,141.53835149863758,-13.580217983651226,-0.22080381471389646,1.0354719208042042,163.01691569931012,-15.034330113221268,-1.8638563777508672,686,Established,Pharmaceutical
117,192,11,913,666,0,Y,46,4,2013,26-35,Married,0,1,1,4,1.346514745308311,95.19959115281502,-13.045898123324397,-0.023873994638069704,1.0274287893632517,105.19047045442463,-6.7277478128628365,-0.6644141005855465,1134,Established,Grocery
